mgrs_tile,eco_id,mgrs_tile_3
14ULA,376,14U
12UWG,376,12U
12UUD,376,12U
14ULF,376,14U
10UEG,376,10U
14UPD,376,14U
12VXJ,376,12V
12UXD,376,12U
12UYE,376,12U
14UND,376,14U
12UWF,376,12U
10UFF,376,10U
13UDB,376,13U
11ULB,376,11U
14UNE,376,14U
12VXH,376,12V
11UPA,376,11U
14UNC,376,14U
13UGS,376,13U
13UCA,376,13U
13UCB,376,13U
12VVK,376,12V
11UNA,376,11U
14UNF,376,14U
11UQV,376,11U
12VVJ,376,12V
12VUJ,376,12V
12VXK,376,12V
11VPF,376,11V
12VWJ,376,12V
13UFT,376,13U
12VWH,376,12V
14UMC,376,14U
11VMC,376,11V
10VEH,376,10V
13UEV,376,13U
11VNF,376,11V
14ULB,376,14U
12UXF,376,12U
12UVF,376,12U
11VPD,376,11V
13UFS,376,13U
11VLC,376,11V
14UNA,376,14U
14UPE,376,14U
03WWP,410,03W
03WXP,410,03W
04WDU,410,04W
03WVP,410,03W
03WXM,410,03W
02VNR,410,02V
04WDT,410,04W
03VUL,410,03V
03WWM,410,03W
03WWN,410,03W
02VMR,410,02V
02WPU,410,02W
03WVN,410,03W
03WXN,410,03W
02VPR,410,02V
03WVM,410,03W
02WPT,410,02W
12TWN,438,12T
12TYP,438,12T
13TDH,438,13T
13TCF,438,13T
12TYN,438,12T
13TCG,438,13T
12TVN,438,12T
12TYM,438,12T
12TXK,438,12T
13TCK,438,13T
12TXP,438,12T
12TYK,438,12T
13TCE,438,13T
12TWM,438,12T
12TWP,438,12T
12TXN,438,12T
12TXQ,438,12T
12TXR,438,12T
13TCH,438,13T
13TCJ,438,13T
13TBG,438,13T
12TYL,438,12T
12TXL,438,12T
12TWL,438,12T
12TYR,438,12T
13TBE,438,13T
13TBF,438,13T
12TXM,438,12T
12TVM,438,12T
12TVL,438,12T
12TYQ,438,12T
13TDF,438,13T
13TDG,438,13T
22KFV,439,22K
21JXH,439,21J
22KCA,439,22K
21JYL,439,21J
23KMQ,439,23K
21KYR,439,21K
22JGT,439,22J
22KHU,439,22K
22KFU,439,22K
21KXR,439,21K
22LEJ,439,22L
21JXN,439,21J
21JYM,439,21J
